120,03-01-01-019-005-000,URBANO,62957,296606-1, 06/06/1995,TRASMISION PATRIMONIAL, 03/04/2019
121,03-01-01-019-006-000,URBANO,0,, ,TRANSFERENCIA INICIAL, 06/11/2001
122,03-01-01-019-007-000,URBANO,0,, ,AVALUO CATASTRAL, 09/06/2022
123,03-01-01-019-008-000,URBANO,1730,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
124,03-01-01-057-003-000,URBANO,,8012633-1, ,TRASMISION PATRIMONIAL, 17/09/2007
125,03-01-01-057-004-000,URBANO,,, ,FUSION DE PREDIOS, 18/09/2002
126,03-01-01-057-006-000,URBANO,,, ,TRASMISION PATRIMONIAL, 16/01/2004
127,03-01-01-057-007-000,URBANO,,290495-1, ,TRASMISION PATRIMONIAL, 26/01/2021
128,03-01-01-057-008-000,URBANO,,115748-1, ,TRASMISION PATRIMONIAL, 14/06/2017
129,03-01-01-057-009-000,URBANO,,115748-1, ,TRASMISION PATRIMONIAL, 14/06/2017
130,03-01-01-057-010-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
131,03-01-01-057-011-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
132,03-01-01-057-012-000,URBANO,,, ,TRASMISION PATRIMONIAL, 01/12/2005
133,03-01-01-057-013-000,URBANO,,156301-1, ,TRASMISION PATRIMONIAL, 29/04/2020
134,03-01-01-057-015-000,URBANO,,211648-1, ,TRASMISION PATRIMONIAL, 25/11/2011
135,03-01-01-057-016-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
136,03-01-01-057-017-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
137,03-01-01-057-018-000,URBANO,,192738-1, ,TRASMISION PATRIMONIAL, 27/02/2008
138,03-01-01-057-019-000,URBANO,,, ,TRASMISION PATRIMONIAL, 04/10/2002
139,03-01-01-057-020-000,URBANO,,191575-1, ,TRASMISION PATRIMONIAL, 05/01/2009
140,03-01-01-057-021-000,URBANO,,215665-1, ,TRASMISION PATRIMONIAL, 28/08/2023
141,03-01-01-058-001-000,URBANO,,, 07/11/1900,MANIFESTACION, 25/10/2023
142,03-01-01-058-002-000,URBANO,,, ,MANIFESTACION, 25/10/2023
143,03-01-01-059-001-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
144,03-01-01-059-002-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
145,03-01-01-059-003-000,URBANO,,, ,AVALUO CATASTRAL, 23/01/2024
146,03-01-01-059-004-000,URBANO,,158537-1, ,AVALUO CATASTRAL, 23/01/2024
147,03-01-01-059-005-000,URBANO,,159391-1, ,TRASMISION PATRIMONIAL, 22/06/2010
148,03-01-01-059-006-000,URBANO,,172134-1, ,AVALUO CATASTRAL, 08/03/2021
149,03-01-01-059-007-000,URBANO,,, ,TRASMISION PATRIMONIAL, 01/04/2004
150,03-01-01-059-009-000,URBANO,,661454111, ,TRASMISION PATRIMONIAL, 03/06/2010
151,03-01-01-059-010-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
152,03-01-01-059-011-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
153,03-01-01-059-012-000,URBANO,,193001-1, ,TRASMISION PATRIMONIAL, 11/12/2006
154,03-01-01-059-013-000,URBANO,,191245-1, ,TRASMISION PATRIMONIAL, 24/07/2020
155,03-01-01-059-014-000,URBANO,,182211-1, ,MANIFESTACION, 28/04/2023
156,03-01-01-059-015-000,URBANO,,248268-1, ,TRASMISION PATRIMONIAL, 17/08/2020
157,03-01-01-059-016-000,URBANO,,, ,AVALUO CATASTRAL, 04/08/2023
158,03-01-01-059-018-000,URBANO,,66-1454-111, ,TRASMISION PATRIMONIAL, 28/04/2010
159,03-01-01-059-019-000,URBANO,,, ,TRASMISION PATRIMONIAL, 01/10/2015
160,03-01-01-059-020-000,URBANO,,10565, ,TRASMISION PATRIMONIAL, 29/06/2009
161,03-01-01-059-021-000,URBANO,,, ,MANIFESTACION OFICIAL, 16/01/2017
162,03-01-01-059-022-000,URBANO,,354344-1, ,TRASMISION PATRIMONIAL, 28/10/2022
163,03-01-01-059-024-000,URBANO,,, ,TRASMISION PATRIMONIAL, 23/10/2006
164,03-01-01-059-025-000,URBANO,,221925-1, ,TRASMISION PATRIMONIAL, 26/03/2021
165,03-01-01-059-026-000,URBANO,,, ,TRASMISION PATRIMONIAL, 02/08/2006
166,03-01-01-059-027-000,URBANO,,284381-1, ,TRASMISION PATRIMONIAL, 13/09/2013
167,03-01-01-059-028-000,URBANO,,248374-1, ,TRASMISION PATRIMONIAL, 16/11/2010
168,03-01-01-059-029-000,URBANO,,248689-1, ,TRASMISION PATRIMONIAL, 13/04/2011
169,03-01-01-059-030-000,URBANO,,215189-1, ,MANIFESTACION OFICIAL, 16/11/2012
170,03-01-01-059-031-000,URBANO,,209078-1, ,TRASMISION PATRIMONIAL, 08/01/2013
171,03-01-01-059-032-000,URBANO,,209079-1, 22/11/2012,TRASMISION PATRIMONIAL, 09/10/2013
172,03-01-01-059-033-000,URBANO,,, ,TRASMISION PATRIMONIAL, 07/03/2005
173,03-01-01-059-034-000,URBANO,,211210-1, ,TRASMISION PATRIMONIAL, 29/01/2020
174,03-01-01-059-036-000,URBANO,,312190-1, ,TRASMISION PATRIMONIAL, 10/01/2017
175,03-01-01-060-001-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/11/2001
176,03-01-01-060-002-000,URBANO,,246698-1, 02/07/2001,TRASMISION PATRIMONIAL, 21/04/2010
177,03-01-01-060-003-000,URBANO,,, 02/07/2001,TRASMISION PATRIMONIAL, 17/05/2005
178,03-01-01-060-004-000,URBANO,,661454111, 02/07/2001,TRASMISION PATRIMONIAL, 07/07/2010
179,03-01-01-060-005-000,URBANO,,, 02/07/2001,TRASMISION PATRIMONIAL, 17/08/2005
180,03-01-01-060-006-000,URBANO,,251245-1, 02/07/2001,TRASMISION PATRIMONIAL, 21/07/2016
181,03-01-01-060-007-000,URBANO,,215196-1, 02/07/2001,TRASMISION PATRIMONIAL, 18/12/2019
182,03-01-01-060-008-000,URBANO,,16962, 02/07/2001,TRASMISION PATRIMONIAL, 28/10/2008
183,03-01-01-060-009-000,URBANO,,255241-1, 02/07/2001,TRASMISION PATRIMONIAL, 14/01/2011
184,03-01-01-060-010-000,URBANO,,, 02/07/2001,TRASMISION PATRIMONIAL, 24/08/2007
185,03-01-01-060-011-000,URBANO,,"1,454,111", 02/07/2001,TRASMISION PATRIMONIAL, 28/01/2010
